Timeslot,Temperature
108958,6.34
109066,6.32
109168,6.37
109282,6.41
109387,6.47
109495,6.47
109585,6.53
109690,6.51
109792,6.48
109912,6.5
110020,6.53
110122,6.58
110209,6.58
110320,6.59
110428,6.62
110533,6.63
110641,6.69
110746,6.69
110851,6.68
110953,6.69
111064,6.78
111166,6.8
111271,6.81
111379,6.81
111493,6.84
111595,6.81
111679,6.86
111805,6.92
111895,6.96
112009,6.88
112117,7.0
112225,6.97
112315,7.02
112423,6.99
112537,7.06
112642,7.03
112729,7.06
112840,7.15
112951,7.18
113053,7.21
113176,7.2
113263,7.23
113371,7.23
113476,7.31
113590,7.25
113695,7.31
113800,7.29
113905,7.32
114007,7.29
114115,7.31
114220,7.39
114328,7.4
114436,7.38
114535,7.33
114640,7.35
114745,7.38
114853,7.43
114952,7.47
115060,7.4
115156,7.47
115258,7.5
115366,7.48
115474,7.53
115588,7.53
115693,7.58
115801,7.53
115909,7.57
116017,7.63
116110,7.56
116218,7.66
116326,7.69
116437,7.68
116545,7.71
116638,7.66
116743,7.74
116854,7.76
116950,7.71
117067,7.74
117172,7.81
117280,7.76
117385,7.86
117493,7.9
117580,7.86
117682,7.93
117808,7.92
117895,7.96
118003,7.94
118120,8.02
118219,7.96
118330,8.04
118414,8.05
118543,8.05
118636,8.0
118744,8.07
118852,8.11
118963,8.07
119065,8.09
119173,8.12
119278,8.15
119365,8.15
119467,8.22
119584,8.18
119689,8.15
119794,8.22
119905,8.23
120010,8.23
120118,8.18
120223,8.19
120328,8.25
120430,8.29
120535,8.29
120628,8.26
120739,8.29
120847,8.35
120958,8.38
121063,8.38
121150,8.44
121258,8.45
121363,8.51
121465,8.51
121582,8.52
121669,8.52
121777,8.51
121888,8.56
121996,8.56
122110,8.6
122197,8.53
122311,8.53
122422,8.63
122509,8.66
122617,8.63
122725,8.67
122830,8.67
122932,8.71
123028,8.71
123148,8.78
123250,8.79
123352,8.79
123457,8.84
123547,8.82
123658,8.85
123769,8.85
123871,8.87
123976,8.89
124081,8.89
124186,8.89
124297,8.95
124399,8.97
124510,8.97
124606,8.97
124699,8.97
124804,9.0
124909,9.02
125020,9.04
125128,9.06
125233,9.04
125341,9.04
125443,9.1
125533,9.1
125641,9.13
125758,9.15
125842,9.09
125953,9.12
126061,9.12
126172,9.17
126277,9.17
126388,9.24
126493,9.22
126595,9.24
126700,9.27
126799,9.28
126907,9.28
127015,9.3
127120,9.3
127231,9.36
127333,9.39
127435,9.36
127540,9.38
127645,9.38
127747,9.38
127861,9.36
127969,9.43
128053,9.47
128161,9.5
128266,9.47
128365,9.53
128479,9.54
128581,9.54
128686,9.57
128791,9.6
128905,9.58
129019,9.6
129109,9.61
129217,9.64
129322,9.61
129427,9.65
129514,9.71
129622,9.71
129739,9.67
129847,9.68
129949,9.68
130048,9.73
130153,9.72
130258,9.71
130363,9.73
130468,9.72
130576,9.72
130687,9.75
130783,9.8
130888,9.82
130996,9.84
131104,9.83
131215,9.87
131302,9.87
131413,9.87
131518,9.92
131620,9.95
131731,9.92
131842,9.95
131944,9.95
132052,9.98
132139,9.98
132250,9.97
132361,9.95
132466,9.98
132571,10.02
132673,10.04
132775,10.04
132883,10.09
132988,10.1
133096,10.09
133204,10.13
133294,10.16
133405,10.17
133522,10.17
133615,10.16
133723,10.17
133831,10.23
133939,10.23
134044,10.28
134146,10.28
134251,10.31
134362,10.31
134467,10.33
134554,10.31
134665,10.35
134776,10.38
134881,10.37
134971,10.37
135079,10.4
135187,10.38
135295,10.4
135406,10.38
135499,10.41
135601,10.41
135712,10.42
135820,10.41
135922,10.46
136024,10.48
136144,10.5
136234,10.49
136339,10.52
136441,10.52
136549,10.53
136651,10.56
136762,10.52
136870,10.56
136972,10.59
137083,10.59
137185,10.6
137275,10.59
137389,10.62
137494,10.59
137599,10.63
137707,10.67
137815,10.67
137923,10.67
138025,10.68
138124,10.71
138232,10.67
138340,10.7
138445,10.71
138556,10.71
138646,10.74
138757,10.73
138865,10.75
138970,10.8
139063,10.77
139192,10.81
139279,10.81
139402,10.83
139492,10.85
139600,10.86
139711,10.91
139813,10.91
139918,10.91
140032,10.91
140137,10.91
140242,10.93
140347,10.96
140464,10.96
140566,10.96
140674,10.98
140776,10.98
140863,10.99
140971,11.01
141082,11.01
141187,11.03
141292,11.03
141394,11.07
141499,11.07
141604,11.03
141715,11.06
141820,11.09
141928,11.14
142030,11.11
142132,11.14
142237,11.14
142330,11.16
142435,11.14
142537,11.17
142654,11.22
142765,11.17
142855,11.22
142942,11.18
143077,11.25
143179,11.23
143269,11.25
143383,11.26
143491,11.26
143584,11.29
143695,11.27
143785,11.27
143887,11.3
144001,11.33
144112,11.35
144217,11.32
144325,11.36
144436,11.36
144547,11.4
144631,11.37
144745,11.4
144847,11.4
144949,11.44
145063,11.44
145147,11.44
145255,11.45
145363,11.48
145474,11.48
145579,11.51
145669,11.5
145777,11.52
145888,11.51
145987,11.51
146092,11.52
146203,11.55
146305,11.54
146416,11.59
