Timeslot,Temperature
87051,27.73
87156,27.74
87258,27.74
87360,27.77
87471,27.77
87579,27.77
87690,27.79
87777,27.79
87885,27.81
87990,27.81
88101,27.82
88215,27.82
88320,27.82
88410,27.82
88524,27.81
88629,27.84
88713,27.84
88824,27.84
88932,27.84
89037,27.84
89145,27.86
89232,27.86
89343,27.88
89466,27.86
89559,27.88
89670,27.88
89775,27.88
89859,27.82
89982,27.85
90069,27.82
90174,27.82
90297,27.82
90387,27.85
90492,27.86
90603,27.86
90708,27.86
90816,27.84
90921,27.85
91026,27.86
91110,27.88
91221,27.88
91326,27.88
91434,27.88
91536,27.86
91644,27.82
91752,27.86
91845,27.88
91953,27.88
92058,27.89
92160,27.88
92268,27.85
92376,27.82
92484,27.81
92589,27.84
92694,27.85
92805,27.88
92913,27.86
93000,27.86
93111,27.85
93213,27.84
93336,27.84
93423,27.85
93531,27.86
93636,27.85
93735,27.86
93837,27.88
93948,27.88
94059,27.88
94164,27.88
94266,27.89
94377,27.88
94482,27.88
94584,27.85
94689,27.88
94788,27.88
94896,27.89
95001,27.92
95109,27.92
95220,27.94
95328,27.89
95430,27.91
95541,27.92
95646,27.89
95730,27.85
95859,27.82
95952,27.82
96057,27.85
96159,27.86
96255,27.88
96366,27.88
96474,27.91
96576,27.89
96690,27.91
96798,27.91
96888,27.92
96999,27.92
97101,27.92
97203,27.91
97308,27.89
97416,27.89
97521,27.89
97626,27.89
97737,27.89
97845,27.89
97947,27.86
98040,27.79
98145,27.82
98253,27.74
98355,27.77
98466,27.81
98574,27.67
98688,27.59
98793,27.69
98880,27.63
98991,27.63
99099,27.57
99204,27.59
99303,27.64
99414,27.62
99510,27.59
99615,27.63
99723,27.64
99831,27.64
99942,27.67
100038,27.69
100155,27.66
100260,27.66
100347,27.66
100455,27.63
100563,27.63
100671,27.64
100776,27.64
100884,27.63
100983,27.66
101082,27.67
101187,27.59
101298,27.63
101403,27.64
101508,27.66
101613,27.66
101718,27.64
101829,27.66
101937,27.69
102039,27.67
102147,27.69
102249,27.67
102339,27.66
102453,27.69
102555,27.7
102663,27.69
102771,27.7
102879,27.72
102981,27.72
103086,27.72
103197,27.7
103284,27.73
103392,27.74
103494,27.67
103599,27.67
103710,27.66
103827,27.63
103929,27.64
104037,27.64
104148,27.66
104235,27.67
104346,27.63
104463,27.59
104553,27.63
104658,27.57
104772,27.58
104877,27.62
104970,27.64
105072,27.64
105183,27.62
105291,27.62
105399,27.62
105507,27.63
105609,27.66
105693,27.63
105804,27.63
105915,27.63
106023,27.66
106131,27.62
106242,27.63
106344,27.63
106437,27.64
106551,27.59
106662,27.62
106752,27.62
106860,27.64
106971,27.64
107073,27.58
107184,27.62
107292,27.64
107394,27.64
107502,27.66
107604,27.63
107718,27.55
107823,27.62
107928,27.63
108033,27.58
108123,27.57
108228,27.62
108324,27.59
108435,27.58
108546,27.55
108636,27.58
108750,27.62
108858,27.59
108966,27.62
109056,27.59
109167,27.57
109281,27.59
109386,27.55
109497,27.49
109599,27.49
109707,27.48
109812,27.49
109917,27.51
110025,27.54
110130,27.54
110235,27.55
110334,27.57
